StrNumber|75|Name|HOTEL PARDO DOUBLE ANDAMIO|item.StockingLocationID|dc544060-5a65-468e-961f-b7c45a96f0c1
StrNumber|76|Name|GRAN LA MAR|item.StockingLocationID|61547c35-0b2e-4112-bab8-7c9df08f4c8b
StrNumber|77|Name|GRAN EJERCITO|item.StockingLocationID|938994e0-baf2-481f-aef3-1c1e08320abf
StrNumber|78|Name|GAMARRA MODA PLAZA MURO PANTAL|item.StockingLocationID|b85b4d57-f3ac-4be5-bd53-2e3aa6440b52
StrNumber|79|Name|GAMARRA MODA PLAZA ANDAMIOS|item.StockingLocationID|c785d530-4d4d-4266-9dfe-bbeaada23ff2
StrNumber|80|Name|FUTURA SCHOOL|item.StockingLocationID|0fd4050a-0108-4bb5-bacb-e9fa5000c69b
StrNumber|81|Name|FRENTE 2|item.StockingLocationID|2a024151-442c-4850-b276-5642c7dadf27
StrNumber|82|Name|FRENTE 1|item.StockingLocationID|351531dd-731e-45a5-817e-37b613049e0a
StrNumber|83|Name|frente 03|item.StockingLocationID|cf02bdc4-0cab-4a88-bc0e-8ee2f285f3e1
StrNumber|84|Name|frente 02|item.StockingLocationID|38b035c4-6633-4e67-a2f6-c142e6b18a4d
StrNumber|85|Name|Frente 01|item.StockingLocationID|5b2798db-256c-40b6-8a33-7e4eb2d062f0
StrNumber|86|Name|FACULTAD DE DERECHO UNDAC|item.StockingLocationID|73f642ab-4ab9-4f11-b9e6-f2ace37f0928
StrNumber|87|Name|EXPORTACION DE EQUIPOS NEPTUNIA|item.StockingLocationID|13aea0e6-5edc-4d08-a03d-f4f87924cdce
StrNumber|88|Name|EXITO LA FLORA|item.StockingLocationID|aa00fa53-53bb-4bb2-bd3b-723bf43eb663
StrNumber|89|Name|ESCALERA DE SERVICIO|item.StockingLocationID|22091332-5cef-4403-85ea-b5db0491b10b
StrNumber|90|Name|EQUIPOS DESUSO 2 CHILCA|item.StockingLocationID|0035c255-8aea-45d8-afcc-9a0667a84d57
StrNumber|91|Name|EQUIPO EN DESUSO|item.StockingLocationID|8454129f-0764-4f4b-ab49-8a44695a0554
StrNumber|92|Name|EQUIP.DESUSO2 CHILCA|item.StockingLocationID|6c70cb8e-06e9-4f41-abc5-a5ace322f7b0
StrNumber|93|Name|EFLUENTES DOMESTICOS|item.StockingLocationID|2132fba7-f226-4e0a-868e-9ab285568aaf
StrNumber|94|Name|EDIFICIO T-TOWER MURO P.|item.StockingLocationID|fa619041-4f78-4a88-8371-ccd02c0af7e8
StrNumber|95|Name|EDIFICIO T-TOWER CISTERNA|item.StockingLocationID|cf4fa6ca-34fe-407d-9abb-39ad351258af
StrNumber|96|Name|EDIFICIO T-TOWER ANDAMIO|item.StockingLocationID|7b20f00b-ce51-461d-a310-64c821e243e4
StrNumber|97|Name|EDIFICIO SEDE MEF AMPLIACION|item.StockingLocationID|0b1518b0-a4e5-4b0c-b800-8cafd785bd43
StrNumber|98|Name|EDIFICIO RES.DOUBLE LEAF|item.StockingLocationID|9d7ff5ac-c492-466c-b38c-949cb2e9e669
StrNumber|99|Name|EDIFICIO REAL BERTOLOTTO|item.StockingLocationID|0cf6c8d2-76e3-4832-ac08-6badc921c119
StrNumber|100|Name|EDIFICIO PRUEBA|item.StockingLocationID|4efee837-195c-4573-993c-b1e47fcc618f
StrNumber|101|Name|EDIFICIO PEZET 583|item.StockingLocationID|79a655c5-668f-41c5-aa01-e7c40991c2d4
StrNumber|102|Name|EDIFICIO OCEAN HOUSE II|item.StockingLocationID|ab85d087-4c41-4e56-8763-1153beca5589
StrNumber|103|Name|EDIFICIO OCEAN GRAU|item.StockingLocationID|ea5d60b2-9235-4b52-a6bd-6e41484f1d33
StrNumber|104|Name|EDIFICIO MULTIFAMILIAR SER-K|item.StockingLocationID|b40751ba-febb-4364-86e7-c845f07c3862
StrNumber|105|Name|EDIFICIO MULTIFAMILIAR MADRE|item.StockingLocationID|51cbf86c-7eb1-4d7b-bff5-25bc96925c5e
